TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,
R1901,05000US12107,"Putnam County, Florida",64,"42,899","+/-4,066"
R1901,05000US12109,"St. Johns County, Florida",64,"90,356","+/-4,977"
R1901,05000US12111,"St. Lucie County, Florida",64,"58,039","+/-4,843"
R1901,05000US12113,"Santa Rosa County, Florida",64,"64,930","+/-6,114"
R1901,05000US12115,"Sarasota County, Florida",64,"66,342","+/-2,517"
R1901,05000US12117,"Seminole County, Florida",64,"70,190","+/-3,553"
R1901,05000US12119,"Sumter County, Florida",64,"60,287","+/-4,394"
R1901,05000US12127,"Volusia County, Florida",64,"53,766","+/-2,548"
R1901,05000US12131,"Walton County, Florida",64,"60,457","+/-5,900"
R1901,05000US13013,"Barrow County, Georgia",64,"69,890","+/-4,686"
R1901,05000US13015,"Bartow County, Georgia",64,"59,911","+/-5,301"
R1901,05000US13021,"Bibb County, Georgia",64,"42,140","+/-3,768"
R1901,05000US13031,"Bulloch County, Georgia",64,"50,436","+/-4,602"
R1901,05000US13045,"Carroll County, Georgia",64,"61,133","+/-7,229"
R1901,05000US13047,"Catoosa County, Georgia",64,"61,487","+/-4,614"
R1901,05000US13051,"Chatham County, Georgia",64,"57,611","+/-3,818"
R1901,05000US13057,"Cherokee County, Georgia",64,"86,404","+/-7,851"
R1901,05000US13059,"Clarke County, Georgia",64,"39,799","+/-3,247"
R1901,05000US13063,"Clayton County, Georgia",64,"51,093","+/-1,923"
R1901,05000US13067,"Cobb County, Georgia",64,"79,601","+/-2,818"
R1901,05000US13073,"Columbia County, Georgia",64,"88,761","+/-6,099"
R1901,05000US13077,"Coweta County, Georgia",64,"78,423","+/-6,687"
R1901,05000US13089,"DeKalb County, Georgia",64,"63,652","+/-3,193"
R1901,05000US13095,"Dougherty County, Georgia",64,"35,062","+/-4,466"
R1901,05000US13097,"Douglas County, Georgia",64,"62,669","+/-6,931"
R1901,05000US13113,"Fayette County, Georgia",64,"92,172","+/-7,124"
R1901,05000US13115,"Floyd County, Georgia",64,"50,880","+/-6,357"
