GEOID,NAME,ESTIMATE
13217,"Newton County, Georgia",53309
13219,"Oconee County, Georgia",88308
13221,"Oglethorpe County, Georgia",44927
13223,"Paulding County, Georgia",66467
13225,"Peach County, Georgia",42802
13227,"Pickens County, Georgia",64512
13229,"Pierce County, Georgia",44167
13231,"Pike County, Georgia",58765
13233,"Polk County, Georgia",43491
13235,"Pulaski County, Georgia",38770
13237,"Putnam County, Georgia",51245
13239,"Quitman County, Georgia",30000
13241,"Rabun County, Georgia",40902
13243,"Randolph County, Georgia",30914
13245,"Richmond County, Georgia",40644
13247,"Rockdale County, Georgia",57049
13249,"Schley County, Georgia",41276
13251,"Screven County, Georgia",37588
13253,"Seminole County, Georgia",34338
13255,"Spalding County, Georgia",42671
13257,"Stephens County, Georgia",43416
13259,"Stewart County, Georgia",25385
13261,"Sumter County, Georgia",36205
13263,"Talbot County, Georgia",36213
13265,"Taliaferro County, Georgia",31797
13267,"Tattnall County, Georgia",38034
13269,"Taylor County, Georgia",33442
13271,"Telfair County, Georgia",30288
13273,"Terrell County, Georgia",38015
13275,"Thomas County, Georgia",40112
13277,"Tift County, Georgia",42790
13279,"Toombs County, Georgia",36575
13281,"Towns County, Georgia",43927
13283,"Treutlen County, Georgia",37606
13285,"Troup County, Georgia",43850
13287,"Turner County, Georgia",38341
13289,"Twiggs County, Georgia",33037
13291,"Union County, Georgia",44978
13293,"Upson County, Georgia",36529
13295,"Walker County, Georgia",43650
13297,"Walton County, Georgia",58370
13299,"Ware County, Georgia",39887
13301,"Warren County, Georgia",34730
13303,"Washington County, Georgia",38092
13305,"Wayne County, Georgia",44869
13307,"Webster County, Georgia",35755
13309,"Wheeler County, Georgia",27626
13311,"White County, Georgia",46288
13313,"Whitfield County, Georgia",46970
13315,"Wilcox County, Georgia",36077
13317,"Wilkes County, Georgia",35106
13319,"Wilkinson County, Georgia",37583
13321,"Worth County, Georgia",46076
15001,"Hawaii County, Hawaii",59297
15003,"Honolulu County, Hawaii",82906
15005,"Kalawao County, Hawaii",61875
15007,"Kauai County, Hawaii",78482
15009,"Maui County, Hawaii",77117
16001,"Ada County, Idaho",63137
16003,"Adams County, Idaho",45319
16005,"Bannock County, Idaho",49739
16007,"Bear Lake County, Idaho",54265
16009,"Benewah County, Idaho",46507
16011,"Bingham County, Idaho",51288
16013,"Blaine County, Idaho",51968
16015,"Boise County, Idaho",53942
16017,"Bonner County, Idaho",48710
16019,"Bonneville County, Idaho",56609
16021,"Boundary County, Idaho",43507
16023,"Butte County, Idaho",42250
16025,"Camas County, Idaho",38393
16027,"Canyon County, Idaho",49143
16029,"Caribou County, Idaho",59611
16031,"Cassia County, Idaho",50918
16033,"Clark County, Idaho",35341
16035,"Clearwater County, Idaho",42348
16037,"Custer County, Idaho",39957
16039,"Elmore County, Idaho",46715
16041,"Franklin County, Idaho",56613
16043,"Fremont County, Idaho",53311
16045,"Gem County, Idaho",43001
16047,"Gooding County, Idaho",48638
16049,"Idaho County, Idaho",39113
16051,"Jefferson County, Idaho",60162
16053,"Jerome County, Idaho",49306
16055,"Kootenai County, Idaho",54457
16057,"Latah County, Idaho",45466
16059,"Lemhi County, Idaho",37921
16061,"Lewis County, Idaho",41326
16063,"Lincoln County, Idaho",48222
16065,"Madison County, Idaho",36031
16067,"Minidoka County, Idaho",50663
16069,"Nez Perce County, Idaho",54174
16071,"Oneida County, Idaho",51058
16073,"Owyhee County, Idaho",40430
16075,"Payette County, Idaho",50289
16077,"Power County, Idaho",49985
16079,"Shoshone County, Idaho",39091
16081,"Teton County, Idaho",68818
16083,"Twin Falls County, Idaho",50778
16085,"Valley County, Idaho",55299
16087,"Washington County, Idaho",37206
17001,"Adams County, Illinois",51398
17003,"Alexander County, Illinois",34709
17005,"Bond County, Illinois",58097
17007,"Boone County, Illinois",66898
17009,"Brown County, Illinois",58762
17011,"Bureau County, Illinois",55940
17013,"Calhoun County, Illinois",54392
17015,"Carroll County, Illinois",51228
17017,"Cass County, Illinois",51997
17019,"Champaign County, Illinois",51692
17021,"Christian County, Illinois",52415
17023,"Clark County, Illinois",54158
17025,"Clay County, Illinois",48691
17027,"Clinton County, Illinois",65010
17029,"Coles County, Illinois",44071
17031,"Cook County, Illinois",62088
17033,"Crawford County, Illinois",49233
17035,"Cumberland County, Illinois",53376
17037,"DeKalb County, Illinois",61086
17039,"De Witt County, Illinois",55591
17041,"Douglas County, Illinois",54218
17043,"DuPage County, Illinois",88711
17045,"Edgar County, Illinois",51109
17047,"Edwards County, Illinois",49766
17049,"Effingham County, Illinois",56293
17051,"Fayette County, Illinois",44432
17053,"Ford County, Illinois",51120
17055,"Franklin County, Illinois",41414
17057,"Fulton County, Illinois",50180
17059,"Gallatin County, Illinois",42500
17061,"Greene County, Illinois",46052
17063,"Grundy County, Illinois",74140
17065,"Hamilton County, Illinois",56862
17067,"Hancock County, Illinois",51549
17069,"Hardin County, Illinois",43081
17071,"Henderson County, Illinois",52712
17073,"Henry County, Illinois",57250
17075,"Iroquois County, Illinois",51825
